,0,1
0,3.469725,9.0409111
1,3.6227565,2.665269
2,2.9658795,9.5964554
3,2.034176,5.2455426
4,3.693679,6.8939496
5,14.7945145,15.3208963
6,13.172154,18.021763
7,14.4268585,22.296356
8,1.161834,4.1152386
9,2.580001,8.6364246
10,2.18435,3.7043317
11,0.8693335,12.3409984
12,1.8882865,10.0136989
13,-0.177788,11.25816257
14,6.043855,10.75201584
15,2.886828,6.4156128
16,0.2311595,10.4247709
17,15.7920815,17.837739
18,14.6415345,16.9194006
19,10.68798545,19.874368
20,1.15398,9.0510489
21,5.903957,17.1472217
22,12.8367935,20.278657
23,4.904996,5.6651575
24,15.0440808,18.653725
25,15.5268175,20.317204
26,-0.019309,3.297775
27,0.464019,5.612124
28,3.285179,4.557517
29,12.42803575,21.147591
30,11.4569368,21.564823
31,12.4681761,19.463379
32,1.5487365,6.8208115
33,14.10761625,19.058329
34,4.7876825,9.3694295
35,13.6566855,12.2733378
36,12.15542025,4.747872
37,7.47499315,6.6411737
38,15.2979785,12.7331496
39,8.2002605,5.781158
40,13.8653433,6.3956232
41,16.71089,13.6124057
42,15.7146905,8.315176
43,17.1475435,13.2011043
44,15.8993835,5.068522
45,11.4506978,7.1797183
46,13.5998,9.7378794
47,10.9079467,10.0372321
48,6.85945,8.079557
49,18.0647825,4.98999
50,15.3841595,3.3499274
51,16.707806,3.980764
52,12.66234465,6.8065396
53,6.93394775,6.1859738
54,9.561946,5.370133
55,14.45012115,11.030775995
56,7.368909,9.4257465
57,9.66681015,8.3274268
58,14.5183515,5.4350885
59,9.2857843,6.8875076
60,18.5193795,8.2009042
61,8.9619596,9.1768588
62,6.561783,2.847039
63,5.721279,2.260255
64,5.6346283,7.2007742
65,11.2004677,8.7578285
66,18.0930715,6.6604584
67,8.9553684,6.2235812
68,18.609156,10.75792456
69,15.2494375,10.0117941
70,17.606448,9.9738005
71,10.700624,5.818656
72,18.9418535,7.02752
73,17.444051,7.6410388
74,4.412983,0.8595953
75,3.0432515,0.442163
76,10.507775575,10.77715145
77,16.744508,8.7262231
78,15.267028,6.6845212
79,16.4204415,6.7465393
80,10.54305155,6.715638
81,14.468299,7.8977023
82,12.6449115,9.1246643
83,12.79667725,10.7415132
84,17.7255395,12.7644037
85,8.0489592,7.5802255
86,6.02257325,8.9006633
87,-1.0879285,12.7534264
88,1.378142,21.027921
89,14.891312,21.50631
90,15.024142,19.7673145
91,5.174164,13.3622316
92,5.9800805,13.6911807
93,5.3796015,15.2215903
94,-2.08858,9.2397931
95,13.61957,21.095338
96,-2.2423155,12.4153702
97,-0.6849415,18.332438
98,15.3218585,20.69049
99,4.845584,12.3703265
100,-2.496335,19.391177
101,2.3514075,20.599951
102,0.6401665,19.9658716
103,6.673628,14.0643042
104,-2.2313,21.0472046
105,3.4206535,13.0312405
106,7.049382,12.0204582
107,17.213962,16.3600836
108,0.925006,21.432623
109,0.273722,17.045978
110,-0.731881,21.837788
111,14.624476,20.1784595
112,17.6629335,16.970498
113,-0.9772655,19.4834454
114,11.379661,3.751856
115,-1.8060475,11.6069256
116,-0.9603015,20.4403015
117,7.0595685,14.8548734
118,0.6672265,22.454552
119,10.10484665,2.966568
120,3.9980035,18.671596
121,-1.756845,4.944322
122,-1.582263,17.41944
123,-0.437053,7.236298
124,2.2425795,1.849133
125,16.9384465,14.9094122
126,-2.133794,14.7977087
127,1.2213495,17.8368567
128,-1.8036415,16.0886005
129,4.1318575,14.0643414
130,16.543986,21.923468
131,0.919228,2.260447
132,13.110508,15.7318433
133,3.243789,14.4815598
134,5.428169,3.8111304
135,-2.165541,17.978837
136,16.531266,12.168947
137,5.045644,3.2585535
138,13.59709535,14.492255
139,5.6477425,15.9076556
140,2.8518855,18.253984
141,2.383824,16.3315753
142,2.3686835,15.632685
143,12.7631645,14.0749457
144,1.023935,13.4047511
145,19.18022,11.13148381
146,2.5755675,11.923121
147,1.47833,15.2151422
148,16.28849,10.3849092
149,-1.077795,4.526791
150,4.4802825,17.558481
151,0.4870295,18.699101
152,17.2360805,19.355876
153,17.23738,18.2488605
154,-0.8876515,8.2249744
155,-0.335968,14.064021
156,-0.923043,10.83577648
157,-2.606023,18.680729
158,1.653957,19.1681915
159,-1.7547765,19.072026
160,3.880839,16.742445
