,0,1
0,-1306.055,-195.90889
1,-1275.4487,-833.4731
2,-1406.8241,-140.35446
3,-1593.1648,-575.44574
4,-1261.2642,-410.60504
5,958.9029,432.08963
6,634.4308,702.1763
7,885.3717,1129.6356
8,-1767.6332,-688.47614
9,-1483.9998,-236.35754
10,-1563.13,-729.56683
11,-1826.1333,134.09984
12,-1622.3427,-98.63011
13,-2035.5576,25.816257
14,-791.229,-24.798416
15,-1422.6344,-458.43872
16,-1953.7681,-57.52291
17,1158.4163,683.7739
18,928.3069,591.94006
19,137.59709,887.4368
20,-1769.204,-194.89511
21,-819.2086,614.72217
22,567.3587,927.8657
23,-1019.0008,-533.48425
24,1008.81616,765.3725
25,1105.3635,931.7204
26,-2003.8618,-770.2225
27,-1907.1962,-538.7876
28,-1342.9642,-644.2483
29,485.60715,1014.7591
30,291.38736,1056.4823
31,493.63522,846.3379
32,-1690.2527,-417.91885
33,821.52325,805.8329
34,-1042.4635,-163.05705
35,731.3371,127.33378
36,431.08405,-625.2128
37,-505.00137,-435.88263
38,1059.5957,173.31496
39,-359.9479,-521.8842
40,773.06866,-460.43768
41,1342.178,261.24057
42,1142.9381,-268.4824
43,1429.5087,220.11043
44,1179.8767,-593.1478
45,290.13956,-382.02817
46,719.96,-126.21206
47,181.58934,-96.27679
48,-628.11,-292.0443
49,1612.9565,-601.001
50,1076.8319,-765.00726
51,1341.5612,-701.9236
52,532.46893,-419.34604
53,-613.21045,-481.40262
54,-87.6108,-562.9867
55,890.02423,3.0775995
56,-526.2182,-157.42535
57,-66.63797,-267.25732
58,903.6703,-556.49115
59,-142.84314,-411.24924
60,1703.8759,-279.90958
61,-207.60808,-182.31412
62,-687.6434,-815.2961
63,-855.7442,-873.9745
64,-873.07434,-379.92258
65,240.09354,-224.21715
66,1618.6143,-433.95416
67,-208.92632,-477.64188
68,1721.8312,-24.207544
69,1049.8875,-98.82059
70,1521.2896,-102.61995
71,140.1248,-518.1344
72,1788.3707,-397.248
73,1488.8102,-335.89612
74,-1117.4034,-1014.04047
75,-1391.3497,-1055.7837
76,101.555115,-22.284855
77,1348.9016,-227.37769
78,1053.4056,-431.54788
79,1284.0883,-425.34607
80,108.61031,-428.4362
81,893.6598,-310.22977
82,528.9823,-187.53357
83,559.33545,-25.84868
84,1545.1079,176.44037
85,-390.20816,-341.97745
86,-795.48535,-209.93367
87,-2217.5857,175.34264
88,-1724.3716,1002.7921
89,978.2624,1050.631
90,1004.8284,876.73145
91,-965.1672,236.22316
92,-803.9839,269.11807
93,-924.0797,422.15903
94,-2417.716,-176.02069
95,723.914,1009.5338
96,-2448.4631,141.53702
97,-2136.9883,733.2438
98,1064.3717,969.049
99,-1030.8832,137.03265
100,-2499.267,839.1177
101,-1529.7185,959.9951
102,-1871.9667,896.58716
103,-665.2744,306.43042
104,-2446.26,1004.72046
105,-1315.8693,203.12405
106,-590.1236,102.04582
107,1442.7924,536.00836
108,-1814.9988,1043.2623
109,-1945.2556,604.5978
110,-2146.3762,1083.7788
111,924.8952,917.84595
112,1532.5867,597.0498
113,-2195.4531,848.34454
114,275.9322,-724.8144
115,-2361.2095,60.69256
116,-2192.0603,944.03015
117,-588.0863,385.48734
118,-1866.5547,1145.4552
119,20.96933,-803.3432
120,-1200.3993,767.1596
121,-2351.369,-605.5678
122,-2316.4526,641.944
123,-2087.4106,-376.3702
124,-1551.4841,-915.0867
125,1387.6893,390.94122
126,-2426.7588,379.77087
127,-1755.7301,683.68567
128,-2360.7283,508.86005
129,-1173.6285,306.43414
130,1308.7972,1092.3468
131,-1816.1544,-873.9553
132,622.1016,473.18433
133,-1351.2422,348.15598
134,-914.3662,-718.88696
135,-2433.1082,697.8837
136,1306.2532,116.8947
137,-990.8712,-774.14465
138,719.41907,349.2255
139,-870.4515,490.76556
140,-1429.6229,725.3984
141,-1523.2352,533.15753
142,-1526.2633,463.2685
143,552.6329,307.49457
144,-1795.213,240.47511
145,1836.044,13.148381
146,-1484.8865,92.3121
147,-1704.334,421.51422
148,1257.698,-61.50908
149,-2215.559,-647.3209
150,-1103.9435,655.8481
151,-1902.5941,769.9101
152,1447.2161,835.5876
153,1447.476,724.88605
154,-2177.5303,-277.50256
155,-2067.1936,306.4021
156,-2184.6086,-16.422352
157,-2521.2046,768.0729
158,-1669.2086,816.81915
159,-2350.9553,807.2026
160,-1223.8322,574.2445
